vendor_id,legal_name,gstin,pan,known_domain,known_phone,city,avg_payout_amount,group_id
VEND0000,Prime Agro,24QBYDT0951O1Z2,QBYDT0951O,primeagro.com,9591589770,Ahmedabad,45000,
VEND0001,Nova Solutions,36GETJP6787N1Z3,GETJP6787N,novasolutions.com,9800903040,Hyderabad,150000,
VEND0002,Nova Packaging,19PNABM0773O1Z7,PNABM0773O,novapackaging.com,9265084982,Kolkata,28000,
VEND0003,Metro Distributors,36UGGYN6943A1Z4,UGGYN6943A,metrodistribut.com,9631027338,Hyderabad,28000,
VEND0004,Krishna Industries,29OOOYM9834P1Z6,OOOYM9834P,krishnaindustr.com,9127068537,Bengaluru,150000,GRP000
VEND0005,Sunrise Distributors,27FBIIJ1153X1Z5,FBIIJ1153X,sunrisedistrib.com,9582514439,Pune,28000,
VEND0006,Sai Textiles,33ULRQZ8686P1Z8,ULRQZ8686P,saitextiles.com,9119617179,Chennai,28000,
VEND0007,Om Systems,19CNVVS6867Y1Z1,CNVVS6867Y,omsystems.com,9398475011,Kolkata,150000,
VEND0008,Nova Logistics,36AZDIO0728T1Z6,AZDIO0728T,novalogistics.com,9699859703,Hyderabad,15000,
VEND0009,National Corp,19DMLFQ1249W1Z8,DMLFQ1249W,nationalcorp.com,9382210089,Kolkata,15000,GRP000
VEND0010,Prime Distributors,33ZQPCX2843E1Z8,ZQPCX2843E,primedistribut.com,9897309009,Chennai,82000,
VEND0011,Suraksha Traders,27WASJB9692Z1Z6,WASJB9692Z,surakshatrader.com,9570757582,Pune,82000,
VEND0012,Suraksha Packaging,36KLPZK4470C1Z0,KLPZK4470C,surakshapackag.com,9827988773,Hyderabad,45000,
VEND0013,Prime Enterprises,36BELUP3973B1Z9,BELUP3973B,primeenterpris.com,9423820923,Hyderabad,310000,
VEND0014,Ganga Enterprises,29JOXSF0878H1Z3,JOXSF0878H,gangaenterpris.com,9587936054,Bengaluru,45000,
VEND0015,Vertex Pvt Ltd,36DFAYV4833E1Z7,DFAYV4833E,vertexpvtltd.com,9699290968,Hyderabad,28000,
VEND0016,Vertex Solutions,24BKBCM8582F1Z0,BKBCM8582F,vertexsolution.com,9184132285,Ahmedabad,45000,
VEND0017,Om Traders,19TWSIG7971U1Z1,TWSIG7971U,omtraders.com,9000583850,Kolkata,28000,
VEND0018,Vishal Agro,07QZKYU9641F1Z6,QZKYU9641F,vishalagro.com,9922843826,Delhi,82000,
VEND0019,Sunrise Systems,33WDVAA7707K1Z7,WDVAA7707K,sunrisesystems.com,9177545118,Chennai,15000,
VEND0020,Metro Enterprises,36AFMRH0531Z1Z8,AFMRH0531Z,metroenterpris.com,9000428552,Hyderabad,45000,
VEND0021,Sai Traders,07QAQTZ6027S1Z7,QAQTZ6027S,saitraders.com,9873442146,Delhi,310000,
VEND0022,Sunrise Corp,36IOTQN4758T1Z3,IOTQN4758T,sunrisecorp.com,9720830271,Hyderabad,45000,
VEND0023,Orbit Logistics,36VXGBS5514F1Z1,VXGBS5514F,orbitlogistics.com,9543829168,Hyderabad,15000,
VEND0024,Prime Traders,24YCAGR4920F1Z4,YCAGR4920F,primetraders.com,9750567488,Ahmedabad,82000,
VEND0025,Nova Packaging,07BGLIO5391N1Z8,BGLIO5391N,novapackagingd.com,9127341276,Delhi,45000,
VEND0026,Balaji Pvt Ltd,29XRKCI5589E1Z1,XRKCI5589E,balajipvtltd.com,9380839053,Bengaluru,45000,
VEND0027,Vishal Industries,27RTXUL7970T1Z7,RTXUL7970T,vishalindustri.com,9974457928,Mumbai,28000,
VEND0028,Vishal Textiles,27ZTXVL5771N1Z0,ZTXVL5771N,vishaltextiles.com,9324585866,Mumbai,150000,
VEND0029,Zenith Distributors,27FFSTX1054M1Z4,FFSTX1054M,zenithdistribu.com,9558580781,Pune,150000,
VEND0030,Prime Pvt Ltd,29WOSVT2096Q1Z1,WOSVT2096Q,primepvtltd.com,9699909954,Bengaluru,45000,
VEND0031,National Enterprises,07OWYUM6231E1Z6,OWYUM6231E,nationalenterp.com,9618676167,Delhi,310000,
VEND0032,Sai Corp,07TIYBR7329D1Z9,TIYBR7329D,saicorp.com,9472704149,Delhi,82000,
VEND0033,Om Industries,27FMKTF5847D1Z4,FMKTF5847D,omindustries.com,9568196184,Mumbai,82000,
VEND0034,Vishal Systems,07OKXPU4218B1Z1,OKXPU4218B,vishalsystems.com,9562701784,Delhi,28000,
VEND0035,Metro Logistics,36LDDZW4433I1Z4,LDDZW4433I,metrologistics.com,9637917483,Hyderabad,28000,
VEND0036,Prime Solutions,24QZQJL9174T1Z3,QZQJL9174T,primesolutions.com,9371642186,Ahmedabad,310000,
VEND0037,Everest Agro,36CVQWB8190I1Z3,CVQWB8190I,everestagro.com,9060993288,Hyderabad,310000,
VEND0038,Zenith Industries,24MKEEP2695X1Z6,MKEEP2695X,zenithindustri.com,9541158983,Ahmedabad,310000,
VEND0039,National Pvt Ltd,36FQHHY0961G1Z4,FQHHY0961G,nationalpvtltd.com,9919966504,Hyderabad,150000,
VEND0040,Prime Enterprises,07ANIUQ6894P1Z7,ANIUQ6894P,primeenterpris2.com,9451996842,Delhi,82000,
VEND0041,Everest Solutions,07XQLKY6957F1Z2,XQLKY6957F,everestsolutio.com,9607435197,Delhi,150000,
VEND0042,Comet Enterprises,27UAOMD7705O1Z5,UAOMD7705O,cometenterpris.com,9106632457,Mumbai,82000,
VEND0043,Suraksha Corp,27SPYVC9384W1Z2,SPYVC9384W,surakshacorp.com,9167390881,Pune,45000,
VEND0044,Metro Industries,29OSYVJ0621A1Z5,OSYVJ0621A,metroindustrie.com,9510295044,Bengaluru,82000,
VEND0045,Nova Systems,27JZNGZ1972S1Z0,JZNGZ1972S,novasystems.com,9033792461,Pune,15000,
VEND0046,Prime Logistics,27ZAWEN3994D1Z1,ZAWEN3994D,primelogistics.com,9823490029,Mumbai,15000,
VEND0047,Om Systems,19BSLIY6596D1Z8,BSLIY6596D,omsystemskolka.com,9471967407,Kolkata,15000,
VEND0048,Metro Traders,07RPSFE4076T1Z4,RPSFE4076T,metrotraders.com,9982717174,Delhi,15000,
VEND0049,Vishal Pvt Ltd,27QZYQE3932F1Z7,QZYQE3932F,vishalpvtltd.com,9195759608,Pune,28000,
VEND0050,Nova Enterprises,27OYWSM5834M1Z6,OYWSM5834M,novaenterprise.com,9977151020,Pune,310000,
VEND0051,Balaji Packaging,27TQLYB5180B1Z5,TQLYB5180B,balajipackagin.com,9035081046,Pune,82000,
VEND0052,Orbit Traders,36DKPYB9621N1Z0,DKPYB9621N,orbittraders.com,9338268962,Hyderabad,45000,
VEND0053,Everest Packaging,29INJMV8584B1Z1,INJMV8584B,everestpackagi.com,9867480572,Bengaluru,310000,
VEND0054,Balaji Systems,19ABUVU8320D1Z8,ABUVU8320D,balajisystems.com,9283574746,Kolkata,310000,
VEND0055,Anand Packaging,24ALZBZ4429B1Z6,ALZBZ4429B,anandpackaging.com,9740475238,Ahmedabad,82000,
VEND0056,Prime Pvt Ltd,33NWCRI6642V1Z9,NWCRI6642V,primepvtltdche.com,9981047521,Chennai,150000,
VEND0057,Ganga Distributors,36STPPB3210Y1Z5,STPPB3210Y,gangadistribut.com,9486067243,Hyderabad,310000,
VEND0058,Everest Traders,36OIWFX3043X1Z1,OIWFX3043X,everesttraders.com,9868890281,Hyderabad,150000,
VEND0059,National Corp,27KDHYL1309O1Z8,KDHYL1309O,nationalcorpmu.com,9504724702,Mumbai,15000,
VEND0060,Everest Traders,19NFROP1139X1Z0,NFROP1139X,everesttraders2.com,9557317688,Kolkata,150000,
VEND0061,Vertex Logistics,36AKPRI7881F1Z1,AKPRI7881F,vertexlogistic.com,9187526203,Hyderabad,82000,
VEND0062,Suraksha Solutions,33FULSL7968B1Z8,FULSL7968B,surakshasoluti.com,9815936287,Chennai,82000,
VEND0063,Shreeji Distributors,27KLBLL5894Z1Z8,KLBLL5894Z,shreejidistrib.com,9120563077,Mumbai,45000,
VEND0064,Balaji Textiles,07BNYGW7760Y1Z2,BNYGW7760Y,balajitextiles.com,9819739729,Delhi,28000,
VEND0065,Zenith Agro,07KCXOT4074F1Z4,KCXOT4074F,zenithagro.com,9120673564,Delhi,15000,
VEND0066,Prime Systems,07JDMXO4168B1Z7,JDMXO4168B,primesystems.com,9598228034,Delhi,45000,
VEND0067,Sai Corp,07MMFRD7855Z1Z9,MMFRD7855Z,saicorpdelhi.com,9661224579,Delhi,150000,
VEND0068,Zenith Enterprises,29PJMKU1063Q1Z9,PJMKU1063Q,zenithenterpri.com,9221317681,Bengaluru,45000,
VEND0069,Orbit Textiles,27TGGKM5414Y1Z2,TGGKM5414Y,orbittextiles.com,9688691971,Mumbai,45000,
VEND0070,Prime Agro,07CQZID9027Z1Z4,CQZID9027Z,primeagrodelhi.com,9502682418,Delhi,82000,
VEND0071,National Packaging,27YFEVM0179Y1Z4,YFEVM0179Y,nationalpackag.com,9092841597,Mumbai,150000,
VEND0072,Orbit Pvt Ltd,36AAKAS9899Y1Z9,AAKAS9899Y,orbitpvtltd.com,9223882839,Hyderabad,150000,
VEND0073,Suraksha Agro,07URYVC7671V1Z9,URYVC7671V,surakshaagro.com,9421533254,Delhi,82000,
VEND0074,Ganga Distributors,36ZYGQS1287E1Z6,ZYGQS1287E,gangadistribut2.com,9903808391,Hyderabad,310000,
VEND0075,Balaji Traders,07AOQOY6799V1Z1,AOQOY6799V,balajitraders.com,9425636477,Delhi,150000,
VEND0076,Suraksha Textiles,29QZKAT3361N1Z4,QZKAT3361N,surakshatextil.com,9690767750,Bengaluru,28000,
VEND0077,Anand Distributors,36SIZXV3608L1Z6,SIZXV3608L,ananddistribut.com,9685475801,Hyderabad,150000,
VEND0078,Comet Logistics,07GSGJZ6989O1Z9,GSGJZ6989O,cometlogistics.com,9006235674,Delhi,82000,
VEND0079,Anand Pvt Ltd,29SFXPE6409R1Z7,SFXPE6409R,anandpvtltd.com,9500317434,Bengaluru,15000,
VEND0080,Prime Systems,33MZOKP8128M1Z7,MZOKP8128M,primesystemsch.com,9583431876,Chennai,310000,
VEND0081,Sunrise Industries,27LHEKT7047L1Z8,LHEKT7047L,sunriseindustr.com,9473519896,Pune,15000,
VEND0082,Prime Pvt Ltd,36KWRLB1732F1Z4,KWRLB1732F,primepvtltdhyd.com,9798132999,Hyderabad,150000,
VEND0083,Nova Logistics,36ZEXOV4302A1Z4,ZEXOV4302A,novalogisticsh.com,9950913121,Hyderabad,82000,
VEND0084,Ganga Textiles,07YBWWX0313Y1Z2,YBWWX0313Y,gangatextiles.com,9330871756,Delhi,45000,
VEND0085,Ganga Solutions,33EBDLG8829Z1Z8,EBDLG8829Z,gangasolutions.com,9756083760,Chennai,45000,
VEND0086,Krishna Systems,07NZVMP5922X1Z5,NZVMP5922X,krishnasystems.com,9291858783,Delhi,15000,
VEND0087,Shreeji Textiles,33MUSEX3331R1Z6,MUSEX3331R,shreejitextile.com,9291006730,Chennai,28000,
VEND0088,Shreeji Distributors,19ZNPAC1474F1Z6,ZNPAC1474F,shreejidistrib2.com,9634435604,Kolkata,45000,
VEND0089,Sai Logistics,29ATICE7004L1Z1,ATICE7004L,sailogistics.com,9289631942,Bengaluru,310000,
VEND0090,Shreeji Traders,27ARBQG2106J1Z3,ARBQG2106J,shreejitraders.com,9686844368,Mumbai,150000,
VEND0091,Vertex Traders,24TVLBR9574A1Z8,TVLBR9574A,vertextraders.com,9059816636,Ahmedabad,310000,
VEND0092,Shreeji Traders,33XXLAB3666O1Z3,XXLAB3666O,shreejitraders2.com,9280077206,Chennai,45000,GRP000
VEND0093,Balaji Traders,27QEKQX4204Z1Z9,QEKQX4204Z,balajitradersm.com,9240127531,Mumbai,45000,
VEND0094,Anand Distributors,27UJUAC6757Z1Z0,UJUAC6757Z,ananddistribut2.com,9008012567,Mumbai,310000,
VEND0095,Prime Pvt Ltd,27ZVQEG7357B1Z5,ZVQEG7357B,primepvtltdmum.com,9190264135,Mumbai,150000,
VEND0096,Falcon Industries,27ZVMQQ1156X1Z0,ZVMQQ1156X,falconindustri.com,9581585931,Mumbai,15000,
VEND0097,Vertex Solutions,36KPYMB9331A1Z4,KPYMB9331A,vertexsolution2.com,9464061744,Hyderabad,28000,
VEND0098,Comet Distributors,07RXVKI0047Z1Z3,RXVKI0047Z,cometdistribut.com,9144804337,Delhi,150000,
VEND0099,Metro Industries,27NQHVC0506T1Z5,NQHVC0506T,metroindustrie2.com,9980820534,Mumbai,15000,
VEND0100,Vishal Systems,29KTPLM2609W1Z9,KTPLM2609W,vishalsystemsb.com,9394693484,Bengaluru,28000,
VEND0101,Falcon Distributors,36JOUKA3082H1Z1,JOUKA3082H,falcondistribu.com,9691218543,Hyderabad,310000,
VEND0102,Suraksha Corp,29DDLFF2430M1Z8,DDLFF2430M,surakshacorpbe.com,9789255872,Bengaluru,15000,
VEND0103,National Packaging,27ZEEFS1559H1Z5,ZEEFS1559H,nationalpackag2.com,9003228770,Mumbai,45000,
VEND0104,Suraksha Logistics,29VSHKK5307N1Z2,VSHKK5307N,surakshalogist.com,9260386167,Bengaluru,82000,
VEND0105,Falcon Distributors,36ZXGDG2767T1Z0,ZXGDG2767T,falcondistribu2.com,9192300450,Hyderabad,310000,
VEND0106,Om Systems,24DBSAG6681S1Z0,DBSAG6681S,omsystemsahmed.com,9766523582,Ahmedabad,45000,
VEND0107,Nova Logistics,27TRFKH1987O1Z3,TRFKH1987O,novalogisticsp.com,9033709817,Pune,310000,
VEND0108,Zenith Enterprises,29LEIQP5794H1Z2,LEIQP5794H,zenithenterpri2.com,9941506285,Bengaluru,310000,
VEND0109,Suraksha Pvt Ltd,07MAOQY4501Q1Z7,MAOQY4501Q,surakshapvtltd.com,9777987045,Delhi,310000,
VEND0110,Ganga Distributors,36XZNBL2444U1Z8,XZNBL2444U,gangadistribut3.com,9053169723,Hyderabad,150000,
VEND0111,Shreeji Distributors,07WPXWQ0171Y1Z4,WPXWQ0171Y,shreejidistrib3.com,9487260936,Delhi,45000,
VEND0112,National Pvt Ltd,33DDMFC9459F1Z2,DDMFC9459F,nationalpvtltd2.com,9760910863,Chennai,310000,
VEND0113,Comet Distributors,29SSNKN4273W1Z3,SSNKN4273W,cometdistribut2.com,9320330919,Bengaluru,15000,
VEND0114,Vishal Packaging,19METXY5794C1Z0,METXY5794C,vishalpackagin.com,9703686887,Kolkata,15000,
VEND0115,Vertex Packaging,27OTZKE7610X1Z1,OTZKE7610X,vertexpackagin.com,9872111513,Pune,45000,
VEND0116,Prime Pvt Ltd,27IDDPR6998S1Z1,IDDPR6998S,primepvtltdpun.com,9509323034,Pune,28000,
VEND0117,Zenith Agro,07SEZHP9209C1Z4,SEZHP9209C,zenithagrodelh.com,9921899928,Delhi,150000,
VEND0118,Nova Distributors,24BOALK9093D1Z9,BOALK9093D,novadistributo.com,9081343835,Ahmedabad,28000,
VEND0119,Everest Textiles,29ZVXHN0107O1Z4,ZVXHN0107O,everesttextile.com,9334203141,Bengaluru,15000,
